,date,ticker,open,high,low,close
0,2022-01-02T22:05:00.000Z,eurusd,1.13734,1.13743,1.13673,1.13687
1,2022-01-02T22:10:00.000Z,eurusd,1.1369,1.1376,1.13689,1.13745
2,2022-01-02T22:15:00.000Z,eurusd,1.13739,1.13759,1.13722,1.13741
3,2022-01-02T22:20:00.000Z,eurusd,1.13741,1.13748,1.13725,1.13728
4,2022-01-02T22:25:00.000Z,eurusd,1.13729,1.13751,1.13721,1.13739
5,2022-01-02T22:30:00.000Z,eurusd,1.13742,1.13752,1.13729,1.13748
6,2022-01-02T22:35:00.000Z,eurusd,1.13749,1.13753,1.13746,1.13747
7,2022-01-02T22:40:00.000Z,eurusd,1.13744,1.13751,1.13744,1.13751
8,2022-01-02T22:45:00.000Z,eurusd,1.13751,1.13752,1.13745,1.13746
9,2022-01-02T22:50:00.000Z,eurusd,1.13745,1.13749,1.13744,1.13747
10,2022-01-02T22:55:00.000Z,eurusd,1.13744,1.13749,1.13743,1.13744
11,2022-01-02T23:00:00.000Z,eurusd,1.13741,1.13787,1.13735,1.13784
12,2022-01-02T23:05:00.000Z,eurusd,1.13783,1.13783,1.13743,1.13764
13,2022-01-02T23:10:00.000Z,eurusd,1.13763,1.13763,1.1373,1.13732
14,2022-01-02T23:15:00.000Z,eurusd,1.13733,1.13762,1.13715,1.13719
15,2022-01-02T23:20:00.000Z,eurusd,1.13718,1.13722,1.13699,1.13705
16,2022-01-02T23:25:00.000Z,eurusd,1.13706,1.13735,1.13706,1.13734
17,2022-01-02T23:30:00.000Z,eurusd,1.13733,1.13733,1.13698,1.13724
18,2022-01-02T23:35:00.000Z,eurusd,1.13725,1.13744,1.13723,1.13744
19,2022-01-02T23:40:00.000Z,eurusd,1.13739,1.13739,1.13723,1.1373
20,2022-01-02T23:45:00.000Z,eurusd,1.13729,1.1373,1.13698,1.13698
21,2022-01-02T23:50:00.000Z,eurusd,1.13697,1.13713,1.13695,1.1371
22,2022-01-02T23:55:00.000Z,eurusd,1.13711,1.1373,1.13701,1.1373
23,2022-01-03T00:00:00.000Z,eurusd,1.13732,1.13734,1.13725,1.13729
24,2022-01-03T00:05:00.000Z,eurusd,1.13728,1.13759,1.13726,1.1375
25,2022-01-03T00:10:00.000Z,eurusd,1.13751,1.13754,1.13707,1.1371
26,2022-01-03T00:15:00.000Z,eurusd,1.13709,1.13712,1.1369,1.13691
27,2022-01-03T00:20:00.000Z,eurusd,1.1369,1.137,1.13677,1.1368
28,2022-01-03T00:25:00.000Z,eurusd,1.13679,1.13691,1.13666,1.13666
29,2022-01-03T00:30:00.000Z,eurusd,1.13667,1.13671,1.13617,1.13621
30,2022-01-03T00:35:00.000Z,eurusd,1.1362,1.13631,1.13611,1.13621
31,2022-01-03T00:40:00.000Z,eurusd,1.1362,1.13633,1.13612,1.13626
32,2022-01-03T00:45:00.000Z,eurusd,1.13625,1.13628,1.13612,1.13621
33,2022-01-03T00:50:00.000Z,eurusd,1.13622,1.13635,1.13612,1.13631
34,2022-01-03T00:55:00.000Z,eurusd,1.13632,1.13637,1.13621,1.13621
35,2022-01-03T01:00:00.000Z,eurusd,1.13622,1.13647,1.13611,1.13647
36,2022-01-03T01:05:00.000Z,eurusd,1.13648,1.13649,1.13635,1.13642
37,2022-01-03T01:10:00.000Z,eurusd,1.13643,1.13643,1.13631,1.13632
38,2022-01-03T01:15:00.000Z,eurusd,1.13631,1.13647,1.13602,1.13645
39,2022-01-03T01:20:00.000Z,eurusd,1.13644,1.13654,1.13639,1.13649
40,2022-01-03T01:25:00.000Z,eurusd,1.1365,1.13653,1.13616,1.13616
41,2022-01-03T01:30:00.000Z,eurusd,1.13617,1.13619,1.13596,1.13605
42,2022-01-03T01:35:00.000Z,eurusd,1.13606,1.13611,1.13577,1.13587
43,2022-01-03T01:40:00.000Z,eurusd,1.13588,1.13594,1.13501,1.13575
44,2022-01-03T01:45:00.000Z,eurusd,1.13574,1.13574,1.1352,1.13552
45,2022-01-03T01:50:00.000Z,eurusd,1.13551,1.13582,1.13549,1.13582
46,2022-01-03T01:55:00.000Z,eurusd,1.13583,1.13602,1.13574,1.13586
47,2022-01-03T02:00:00.000Z,eurusd,1.13585,1.13585,1.13554,1.13556
48,2022-01-03T02:05:00.000Z,eurusd,1.13555,1.13555,1.13491,1.13492
49,2022-01-03T02:10:00.000Z,eurusd,1.13491,1.13511,1.13491,1.13496
50,2022-01-03T02:15:00.000Z,eurusd,1.13497,1.13511,1.13491,1.13506
51,2022-01-03T02:20:00.000Z,eurusd,1.13507,1.13509,1.13485,1.13486
52,2022-01-03T02:25:00.000Z,eurusd,1.13487,1.135,1.13483,1.13495
53,2022-01-03T02:30:00.000Z,eurusd,1.13494,1.13498,1.13491,1.13496
54,2022-01-03T02:35:00.000Z,eurusd,1.13497,1.13497,1.13449,1.13452
55,2022-01-03T02:40:00.000Z,eurusd,1.13451,1.13493,1.13451,1.13491
56,2022-01-03T02:45:00.000Z,eurusd,1.13491,1.13491,1.13461,1.13461
57,2022-01-03T02:50:00.000Z,eurusd,1.1346,1.13461,1.13442,1.13442
58,2022-01-03T02:55:00.000Z,eurusd,1.13443,1.13447,1.13426,1.13428
59,2022-01-03T03:00:00.000Z,eurusd,1.13429,1.13442,1.13425,1.13439
60,2022-01-03T03:05:00.000Z,eurusd,1.1344,1.13469,1.13435,1.13454
61,2022-01-03T03:10:00.000Z,eurusd,1.13453,1.13453,1.13432,1.13443
62,2022-01-03T03:15:00.000Z,eurusd,1.13442,1.13444,1.13423,1.1343
63,2022-01-03T03:20:00.000Z,eurusd,1.13431,1.13435,1.13425,1.13435
64,2022-01-03T03:25:00.000Z,eurusd,1.13434,1.13442,1.13434,1.1344
65,2022-01-03T03:30:00.000Z,eurusd,1.13441,1.13452,1.13433,1.13434
66,2022-01-03T03:35:00.000Z,eurusd,1.13433,1.13433,1.13412,1.13427
67,2022-01-03T03:40:00.000Z,eurusd,1.13428,1.13466,1.13428,1.13465
68,2022-01-03T03:45:00.000Z,eurusd,1.13464,1.13492,1.13458,1.13492
69,2022-01-03T03:50:00.000Z,eurusd,1.13491,1.13501,1.13491,1.13494
70,2022-01-03T03:55:00.000Z,eurusd,1.13493,1.13494,1.13473,1.13485
71,2022-01-03T04:00:00.000Z,eurusd,1.13484,1.13484,1.13432,1.13456
72,2022-01-03T04:05:00.000Z,eurusd,1.13457,1.13469,1.13457,1.13468
73,2022-01-03T04:10:00.000Z,eurusd,1.13467,1.1347,1.13459,1.13467
74,2022-01-03T04:15:00.000Z,eurusd,1.13466,1.13476,1.13459,1.13475
75,2022-01-03T04:20:00.000Z,eurusd,1.13476,1.13476,1.13461,1.13462
76,2022-01-03T04:25:00.000Z,eurusd,1.13461,1.13491,1.13459,1.13487
77,2022-01-03T04:30:00.000Z,eurusd,1.13486,1.13486,1.1347,1.13472
78,2022-01-03T04:35:00.000Z,eurusd,1.13473,1.13475,1.13471,1.13473
79,2022-01-03T04:40:00.000Z,eurusd,1.13472,1.13481,1.13466,1.13466
80,2022-01-03T04:45:00.000Z,eurusd,1.13467,1.13468,1.13441,1.13447
81,2022-01-03T04:50:00.000Z,eurusd,1.13446,1.13446,1.13397,1.13397
82,2022-01-03T04:55:00.000Z,eurusd,1.13396,1.13409,1.13388,1.13407
83,2022-01-03T05:00:00.000Z,eurusd,1.13408,1.13413,1.13397,1.13407
84,2022-01-03T05:05:00.000Z,eurusd,1.13406,1.13413,1.13398,1.13399
85,2022-01-03T05:10:00.000Z,eurusd,1.13399,1.13401,1.13392,1.13401
86,2022-01-03T05:15:00.000Z,eurusd,1.134,1.134,1.13386,1.13386
87,2022-01-03T05:20:00.000Z,eurusd,1.13387,1.13411,1.13387,1.13391
88,2022-01-03T05:25:00.000Z,eurusd,1.1339,1.1339,1.13365,1.13368
89,2022-01-03T05:30:00.000Z,eurusd,1.13367,1.13373,1.13362,1.13372
90,2022-01-03T05:35:00.000Z,eurusd,1.13371,1.13378,1.13362,1.13378
91,2022-01-03T05:40:00.000Z,eurusd,1.13377,1.13408,1.13376,1.13408
92,2022-01-03T05:45:00.000Z,eurusd,1.13409,1.1341,1.13387,1.13406
93,2022-01-03T05:50:00.000Z,eurusd,1.13406,1.13408,1.13392,1.13399
94,2022-01-03T05:55:00.000Z,eurusd,1.13398,1.13404,1.13373,1.1338
95,2022-01-03T06:00:00.000Z,eurusd,1.13381,1.13412,1.13379,1.13412
96,2022-01-03T06:05:00.000Z,eurusd,1.13413,1.13422,1.13394,1.13399
97,2022-01-03T06:10:00.000Z,eurusd,1.13398,1.13403,1.13389,1.13401
98,2022-01-03T06:15:00.000Z,eurusd,1.13402,1.13424,1.13402,1.13423
99,2022-01-03T06:20:00.000Z,eurusd,1.13424,1.13428,1.13401,1.13401
100,2022-01-03T06:25:00.000Z,eurusd,1.13402,1.13413,1.13382,1.13412
101,2022-01-03T06:30:00.000Z,eurusd,1.13411,1.13439,1.1341,1.13437
102,2022-01-03T06:35:00.000Z,eurusd,1.13438,1.13452,1.13437,1.1344
103,2022-01-03T06:40:00.000Z,eurusd,1.13439,1.1344,1.13417,1.13432
104,2022-01-03T06:45:00.000Z,eurusd,1.13433,1.13462,1.13433,1.1346
105,2022-01-03T06:50:00.000Z,eurusd,1.13461,1.13464,1.13441,1.13443
106,2022-01-03T06:55:00.000Z,eurusd,1.13442,1.13444,1.13431,1.13433
107,2022-01-03T07:00:00.000Z,eurusd,1.13432,1.13448,1.13407,1.13434
108,2022-01-03T07:05:00.000Z,eurusd,1.13433,1.13454,1.13398,1.13452
109,2022-01-03T07:10:00.000Z,eurusd,1.13451,1.13463,1.13438,1.13442
110,2022-01-03T07:15:00.000Z,eurusd,1.13443,1.13443,1.13408,1.13417
111,2022-01-03T07:20:00.000Z,eurusd,1.13418,1.13435,1.13406,1.13412
112,2022-01-03T07:25:00.000Z,eurusd,1.13413,1.13413,1.13364,1.13366
113,2022-01-03T07:30:00.000Z,eurusd,1.13367,1.13392,1.13363,1.1337
114,2022-01-03T07:35:00.000Z,eurusd,1.13371,1.13386,1.13351,1.13359
115,2022-01-03T07:40:00.000Z,eurusd,1.1336,1.13397,1.1336,1.13396
116,2022-01-03T07:45:00.000Z,eurusd,1.13397,1.13409,1.13386,1.13392
117,2022-01-03T07:50:00.000Z,eurusd,1.13391,1.13392,1.13363,1.13371
118,2022-01-03T07:55:00.000Z,eurusd,1.1337,1.13502,1.13368,1.13483
119,2022-01-03T08:00:00.000Z,eurusd,1.13482,1.13482,1.13396,1.13404
120,2022-01-03T08:05:00.000Z,eurusd,1.13405,1.13444,1.13371,1.1339
121,2022-01-03T08:10:00.000Z,eurusd,1.13389,1.13446,1.1337,1.13425
122,2022-01-03T08:15:00.000Z,eurusd,1.13424,1.13461,1.13409,1.13444
123,2022-01-03T08:20:00.000Z,eurusd,1.13443,1.13443,1.13355,1.13359
124,2022-01-03T08:25:00.000Z,eurusd,1.1336,1.13392,1.13359,1.13373
125,2022-01-03T08:30:00.000Z,eurusd,1.13372,1.13399,1.13356,1.13387
126,2022-01-03T08:35:00.000Z,eurusd,1.13388,1.13416,1.13364,1.13365
127,2022-01-03T08:40:00.000Z,eurusd,1.13364,1.13405,1.13356,1.13396
128,2022-01-03T08:45:00.000Z,eurusd,1.13395,1.13439,1.13384,1.13435
129,2022-01-03T08:50:00.000Z,eurusd,1.13434,1.13441,1.13407,1.13432
130,2022-01-03T08:55:00.000Z,eurusd,1.13431,1.13472,1.1342,1.13467
131,2022-01-03T09:00:00.000Z,eurusd,1.13466,1.13477,1.13447,1.13466
132,2022-01-03T09:05:00.000Z,eurusd,1.13467,1.13487,1.13452,1.13485
133,2022-01-03T09:10:00.000Z,eurusd,1.13484,1.13564,1.13477,1.13559
134,2022-01-03T09:15:00.000Z,eurusd,1.13558,1.13561,1.13547,1.13551
135,2022-01-03T09:20:00.000Z,eurusd,1.13552,1.1356,1.135,1.13506
136,2022-01-03T09:25:00.000Z,eurusd,1.13505,1.13505,1.13388,1.13392
137,2022-01-03T09:30:00.000Z,eurusd,1.13391,1.13448,1.13358,1.13442
138,2022-01-03T09:35:00.000Z,eurusd,1.13441,1.13517,1.13424,1.13481
139,2022-01-03T09:40:00.000Z,eurusd,1.1348,1.13483,1.13457,1.13481
140,2022-01-03T09:45:00.000Z,eurusd,1.1348,1.13514,1.13446,1.13498
141,2022-01-03T09:50:00.000Z,eurusd,1.13499,1.13553,1.13499,1.13543
142,2022-01-03T09:55:00.000Z,eurusd,1.13542,1.13558,1.13514,1.13519
143,2022-01-03T10:00:00.000Z,eurusd,1.13518,1.13582,1.13507,1.13582
144,2022-01-03T10:05:00.000Z,eurusd,1.13583,1.13587,1.13565,1.13566
145,2022-01-03T10:10:00.000Z,eurusd,1.13567,1.13589,1.13564,1.13581
146,2022-01-03T10:15:00.000Z,eurusd,1.13582,1.13597,1.1355,1.1357
147,2022-01-03T10:20:00.000Z,eurusd,1.13571,1.13597,1.13548,1.1356
148,2022-01-03T10:25:00.000Z,eurusd,1.13559,1.13581,1.13552,1.13555
149,2022-01-03T10:30:00.000Z,eurusd,1.13556,1.13559,1.13538,1.13554
150,2022-01-03T10:35:00.000Z,eurusd,1.13555,1.13558,1.13523,1.13529
